Z daughter, A daughter, element daughter, Z parent, A parent, element parent, daughter level idx, independent thermal fy, unc, independent fast fy, unc, independent 14MeV fy, unc,Extraction_date
37,88,Rb,93,237,Np,0,0.00046405,0.00016052,0.00029734,0.00010761,,,2024-11-18
37,89,Rb,93,237,Np,0,0.0031877,0.0010027,0.0018351,0.00064095,,,2024-11-18
37,90,Rb,93,237,Np,0,0.00091009,0.00025111,0.00063177,0.00019162,,,2024-11-18
37,90,Rb,93,237,Np,-2,0.0080829,0.0022302,0.0064271,0.0019494,,,2024-11-18
37,91,Rb,93,237,Np,0,0.021326,0.0035524,0.018775,0.0034415,,,2024-11-18
37,92,Rb,93,237,Np,0,0.026536,0.003858,0.027014,0.0037677,,,2024-11-18
37,93,Rb,93,237,Np,0,0.028414,0.0046467,0.031808,0.0044641,,,2024-11-18
37,94,Rb,93,237,Np,0,0.011575,0.0029045,0.016338,0.0037512,,,2024-11-18
37,95,Rb,93,237,Np,0,0.0043772,0.0013188,0.0071571,0.0021221,,,2024-11-18
37,96,Rb,93,237,Np,0,0.00038795,0.00013641,0.00068385,0.00023731,,,2024-11-18
37,96,Rb,93,237,Np,-2,0.00038795,0.00013641,0.00068385,0.00023731,,,2024-11-18
37,97,Rb,93,237,Np,0,0.00010538,0.000040828,0.0002605,0.000094669,,,2024-11-18
37,98,Rb,93,237,Np,0,0.0000045642,0.0000016201,0.000011182,0.0000040134,,,2024-11-18
37,98,Rb,93,237,Np,5,0.0000045642,0.0000016201,0.000011182,0.0000040134,,,2024-11-18
37,99,Rb,93,237,Np,0,0.00000058482,0.00000019149,0.000001908,0.00000062848,,,2024-11-18
37,100,Rb,93,237,Np,0,0.000000015757,0.0000000057792,0.000000052302,0.000000018559,,,2024-11-18
37,101,Rb,93,237,Np,0,0.00000000034394,0.00000000012555,0.0000000012566,0.00000000044941,,,2024-11-18
37,102,Rb,93,237,Np,0,0.0000000000037595,0.0000000000014036,0.000000000014584,0.0000000000053072,,,2024-11-18
38,84,Sr,93,237,Np,0,0,0,0,0,,,2024-11-18
38,85,Sr,93,237,Np,0,0.0000000000080652,0.0000000000027153,0.0000000000015101,0.00000000000053016,,,2024-11-18
38,85,Sr,93,237,Np,2,0.0000000000018649,0.00000000000062783,,,,,2024-11-18
38,86,Sr,93,237,Np,0,0.0000000011967,0.00000000043889,0.00000000025672,0.000000000091738,,,2024-11-18
38,87,Sr,93,237,Np,0,0.000000048362,0.000000018805,0.000000013432,0.0000000050637,,,2024-11-18
38,87,Sr,93,237,Np,1,0.000000011182,0.0000000043481,0.0000000027046,0.0000000010195,,,2024-11-18
38,88,Sr,93,237,Np,0,0.0000022129,0.00000077594,0.00000071824,0.00000026168,,,2024-11-18
